is_canceled,arrival_year,arrival_month,PredictedLikelihoodOfCancellation
0,2015,7,0.32714578536572
0,2015,7,0.32714578536572
0,2015,7,0.324484523251392
0,2015,7,0.324484523251392
0,2015,7,0.433864276489122
0,2015,7,0.433864276489122
0,2015,7,0.433864276489122
0,2015,7,0.456631331350637
1,2015,7,0.403218118902321
1,2015,7,0.322865996624551
1,2015,7,0.364694837078534
0,2015,7,0.331121062324745
0,2015,7,0.364694837078534
0,2015,7,0.324496203998577
0,2015,7,0.364694837078534
0,2015,7,0.364694837078534
0,2015,7,0.364694837078534
0,2015,7,0.373083924198288
0,2015,7,0.373083924198288
0,2015,7,0.397315127729944
0,2015,7,0.306606147863148
0,2015,7,0.403949580559581
0,2015,7,0.403949580559581
0,2015,7,0.357171233035599
0,2015,7,0.296617412590507
0,2015,7,0.330191187344297
0,2015,7,0.330191187344297
1,2015,7,0.330191187344297
0,2015,7,0.376969534868277
0,2015,7,0.330191187344297
0,2015,7,0.324029741014307
0,2015,7,0.325850794437223
1,2015,7,0.343222663239961
0,2015,7,0.403949580559581
1,2015,7,0.307705334132272
1,2015,7,0.307705334132272
0,2015,7,0.393728830633831
0,2015,7,0.307705334132272
1,2015,7,0.307705334132272
0,2015,7,0.315342392581616
1,2015,7,0.381536457986815
0,2015,7,0.348916167335405
0,2015,7,0.348916167335405
0,2015,7,0.315342392581616
0,2015,7,0.376969534868277
1,2015,7,0.371392614499499
0,2015,7,0.376969534868277
0,2015,7,0.330191187344297
0,2015,7,0.343395760114489
0,2015,7,0.296617412590507
0,2015,7,0.330191187344297
0,2015,7,0.390658001233234
0,2015,7,0.325850794437223
0,2015,7,0.373083924198288
0,2015,7,0.358925867325717
0,2015,7,0.381665060702081
0,2015,7,0.358925867325717
0,2015,7,0.373083924198288
0,2015,7,0.358925867325717
0,2015,7,0.433864276489122
0,2015,7,0.419706219616551
0,2015,7,0.387085928965141
0,2015,7,0.35643977137834
0,2015,7,0.403218118902321
1,2015,7,0.369644344148532
0,2015,7,0.428287356120343
0,2015,7,0.433864276489122
0,2015,7,0.387085928965141
1,2015,7,0.394619127511544
1,2015,7,0.433864276489122
1,2015,7,0.387085928965141
1,2015,7,0.433864276489122
0,2015,7,0.400290501735333
0,2015,7,0.433864276489122
